PK,실소유(연)면적,공부면적,건물구분,건물용도,준공년도,20년 4월,20년 5월,20년 6월,20년 7월,20년 8월,20년 9월,20년 10월,20년 11월,20년 12월,21년 1월,21년 2월,21년 3월,21년 4월,21년 5월,21년 6월,21년 7월,21년 8월,21년 9월,평균
11110-28905,1001.66,1001.66,기타,미등록,19581216,1.861410059,1.389193938,1.04875906,0.884032506,0.873050736,0.634197233,0.466725236,0.502415989,0.656160773,1.496266198,3.014495937,2.959587085,3.019986822,5.694047881,6.50669888,2.649352076,0.796178344,1.004831979,35.45739073
11110-3586,47994.76,47994.76,사무소,자동차관련시설,19920831,4.090842417,4.169397868,4.440818123,4.742548978,5.087482467,4.4193887,4.26307997,4.238155374,4.959077824,5.498480459,5.260980574,4.871583898,4.470899532,8.962884698,9.182106547,5.264819534,5.259548126,4.656086414,93.8381815
11110-100187671,55043.25,55043.25,기타,문화 및 집회시설,20091006,12.41270535,12.93370389,19.22554529,26.35914493,30.36435066,20.05473229,15.10767035,18.87818433,17.15468016,17.18660167,19.18289747,16.0629988,16.44863125,33.17812032,40.67735855,25.01492323,27.5203328,23.22907772,390.9916591
11110-23663,1511.84,1511.84,사무소,교육연구 및 복지시설,19741224,8.58556461,7.643335274,7.357756112,9.218568102,10.13169383,9.458672875,8.800203725,8.209036671,10.77197322,11.42498545,11.08847497,9.078506985,8.827488359,15.75596624,14.81009895,7.819775902,9.651484284,8.545547148,177.1791327
11110-23664,1511.84,1511.84,사무소,교육연구 및 복지시설,19901225,49.61926374,39.4125063,31.39687342,35.55723651,15.92032274,9.846192637,13.39636914,16.75239536,15.75390822,29.53857791,34.64195663,29.62178517,22.18860313,46.42965204,39.16288452,18.69389813,24.35199193,22.88199697,495.1664145
11110-9409,20973.54,20973.54,기타,문화 및 집회시설,19980203,17.08068833,20.63869523,24.07030477,30.45192895,30.65686575,21.82911182,23.38324861,21.12055237,20.90669958,21.73378934,20.34813865,20.84441873,20.29359374,46.84359436,61.47710401,34.60534082,36.15960873,32.34552918,504.789213
11110-11676,4518.9,4518.9,사무소,문화 및 집회시설,19971027,16.54052977,15.4213968,18.96562216,23.4811016,27.46592091,26.74295736,14.54690301,15.65812476,21.8069663,22.55670628,2.705636327,0.74487154,0,0,0,0,0,0,206.6367368
11110-100194135,11751.65,11751.65,사무소,업무시설,20130307,13.36148541,11.97427595,20.69605119,22.70783252,22.70291831,20.03263372,11.31670872,17.35135066,25.52530921,27.12616952,20.57881234,17.41921347,11.13020299,23.90315403,40.08164811,23.90830224,21.67374369,19.1679679,370.65778
11110-456,7463,7463.26,사무소,업무시설,,34.50782425,29.81791912,36.94007883,37.59471824,40.91508854,37.7772474,28.52247781,34.95792029,40.06420827,38.63404006,37.09468142,22.63147795,12.65174931,20.18915973,19.57729077,10.56845124,11.36951652,9.793551406,503.6074012
11110-100213505,3817.98,141475.68,기타,문화 및 집회시설,20180730,21.74059174,29.53331272,39.25948969,41.49921032,42.60764112,36.20080851,27.96478518,25.31873323,28.15955364,30.31296969,25.72016618,26.96306885,25.98421156,66.24856654,82.32571139,46.85522628,46.36527282,40.19834363,683.2576631
11110-100217645,1384.82,1384.82,기타,문화 및 집회시설,20190923,22.06243411,28.70697997,28.77449777,25.30726015,34.27124103,31.47918141,30.72854234,38.48911772,24.52484799,29.75152005,29.99776144,23.64314496,20.91065987,37.98472004,66.0721249,61.33793562,59.94786326,50.29678947,644.2866221
11110-100204177,1773.64,1773.64,기타,문화 및 집회시설,20160412,24.56586455,20.40436616,20.21520714,22.8913421,27.50868271,25.40622674,19.34383528,22.1657157,27.70714463,35.47816919,35.94951625,30.820516,28.80798809,51.43884892,62.68295708,34.6657157,35.89990077,34.8858844,560.8378814
11110-6294,5534.2,5534.2,사무소,교육연구 및 복지시설,19610201,54.69827672,43.72304267,44.1175886,50.82188786,61.38667488,61.55959929,43.3742124,55.87247322,75.56250124,89.31843931,83.96970841,59.81942319,54.91641987,93.81646161,97.3226531,58.98461569,74.36892528,60.82963964,1164.462543
